Date,Mobile Operating System,Percent of Usage
01/12/2008,Android,0
01/12/2008,iOS,32.56
01/12/2008,SymbianOS,42.02
01/12/2008,Series 40,0
01/12/2008,BlackBerry OS,0
01/12/2008,Samsung,0
01/12/2008,Unknown,16
01/12/2008,Windows Phone,0
01/12/2008,Sony Ericsson,0
01/12/2008,Linux,1.66
01/12/2008,bada,0
01/12/2008,Nokia Unknown,0
01/12/2008,LG,0
01/12/2008,Playstation,4.47
01/12/2008,WinCE,2.22
01/12/2008,Nintendo 3DS,0
01/12/2008,Nintendo,0
01/12/2008,webOS,0
01/12/2008,WinXP,0
01/12/2008,Brew,0
01/12/2008,Motorola,0
01/12/2008,Win7,0
01/12/2008,MeeGo,0
01/12/2008,Maemo 5,0
01/12/2008,WinVista,0
01/12/2008,Other,1.07
01/01/2009,Android,0.66
01/01/2009,iOS,35.56
01/01/2009,SymbianOS,39.31
01/01/2009,Series 40,0
01/01/2009,BlackBerry OS,0.95
01/01/2009,Samsung,0
01/01/2009,Unknown,14.73
01/01/2009,Windows Phone,0
01/01/2009,Sony Ericsson,0
01/01/2009,Linux,1.24
01/01/2009,bada,0
01/01/2009,Nokia Unknown,0
01/01/2009,LG,0
01/01/2009,Playstation,4.33
01/01/2009,WinCE,2.1
01/01/2009,Nintendo 3DS,0
01/01/2009,Nintendo,0
01/01/2009,webOS,0
01/01/2009,WinXP,0
01/01/2009,Brew,0
01/01/2009,Motorola,0
01/01/2009,Win7,0
01/01/2009,MeeGo,0
01/01/2009,Maemo 5,0
01/01/2009,WinVista,0
01/01/2009,Other,1.12
01/02/2009,Android,2.06
01/02/2009,iOS,36.43
01/02/2009,SymbianOS,37.04
01/02/2009,Series 40,0
01/02/2009,BlackBerry OS,5.57
01/02/2009,Samsung,0
01/02/2009,Unknown,11.87
01/02/2009,Windows Phone,0
01/02/2009,Sony Ericsson,0
01/02/2009,Linux,0
01/02/2009,bada,0
01/02/2009,Nokia Unknown,0
01/02/2009,LG,0
01/02/2009,Playstation,3.58
01/02/2009,WinCE,1.94
01/02/2009,Nintendo 3DS,0
01/02/2009,Nintendo,0
01/02/2009,webOS,0
01/02/2009,WinXP,0
01/02/2009,Brew,0
01/02/2009,Motorola,0
01/02/2009,Win7,0
01/02/2009,MeeGo,0
01/02/2009,Maemo 5,0
01/02/2009,WinVista,0
01/02/2009,Other,1.52
01/03/2009,Android,2.18
01/03/2009,iOS,39.6
01/03/2009,SymbianOS,35.12
01/03/2009,Series 40,0
01/03/2009,BlackBerry OS,5.97
01/03/2009,Samsung,0
01/03/2009,Unknown,11.29
01/03/2009,Windows Phone,0
01/03/2009,Sony Ericsson,0
01/03/2009,Linux,0
01/03/2009,bada,0
01/03/2009,Nokia Unknown,0
01/03/2009,LG,0
01/03/2009,Playstation,3.18
01/03/2009,WinCE,1.7
01/03/2009,Nintendo 3DS,0
01/03/2009,Nintendo,0
01/03/2009,webOS,0
01/03/2009,WinXP,0
01/03/2009,Brew,0
01/03/2009,Motorola,0
01/03/2009,Win7,0
01/03/2009,MeeGo,0
01/03/2009,Maemo 5,0
01/03/2009,WinVista,0
01/03/2009,Other,0.95
01/04/2009,Android,2.02
01/04/2009,iOS,41.91
01/04/2009,SymbianOS,34.25
01/04/2009,Series 40,0
01/04/2009,BlackBerry OS,6.39
01/04/2009,Samsung,0
01/04/2009,Unknown,10.2
01/04/2009,Windows Phone,0
01/04/2009,Sony Ericsson,0
01/04/2009,Linux,0
01/04/2009,bada,0
01/04/2009,Nokia Unknown,0
01/04/2009,LG,0
01/04/2009,Playstation,2.85
01/04/2009,WinCE,1.55
01/04/2009,Nintendo 3DS,0
01/04/2009,Nintendo,0
01/04/2009,webOS,0
01/04/2009,WinXP,0
01/04/2009,Brew,0
01/04/2009,Motorola,0
01/04/2009,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.85
04/05/2019,Android,1.86
04/05/2019,iOS,37.32
04/05/2019,SymbianOS,39.11
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,6.92
04/05/2019,Samsung,0
04/05/2019,Unknown,9.88
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,0
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0
04/05/2019,Playstation,2.68
04/05/2019,WinCE,1.41
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0
04/05/2019,webOS,0
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.82
04/05/2019,Android,0.13
04/05/2019,iOS,35.81
04/05/2019,SymbianOS,40.61
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,7.91
04/05/2019,Samsung,0
04/05/2019,Unknown,10.61
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,0
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0
04/05/2019,Playstation,2.75
04/05/2019,WinCE,1.35
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0
04/05/2019,webOS,0
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.83
04/05/2019,Android,2.21
04/05/2019,iOS,34.2
04/05/2019,SymbianOS,24.06
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,8.55
04/05/2019,Samsung,0.45
04/05/2019,Unknown,23.63
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,1.87
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.06
04/05/2019,Playstation,2.59
04/05/2019,WinCE,1.42
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.08
04/05/2019,webOS,0.08
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.79
04/05/2019,Android,2.28
04/05/2019,iOS,33.91
04/05/2019,SymbianOS,34.06
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,8.86
04/05/2019,Samsung,1.76
04/05/2019,Unknown,6.14
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,6.93
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.34
04/05/2019,Playstation,2.15
04/05/2019,WinCE,2.21
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.32
04/05/2019,webOS,0.37
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0.03
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.64
04/05/2019,Android,2.32
04/05/2019,iOS,31.13
04/05/2019,SymbianOS,36.29
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,8.92
04/05/2019,Samsung,1.94
04/05/2019,Unknown,7.12
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,6.79
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.34
04/05/2019,Playstation,1.74
04/05/2019,WinCE,2.1
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.27
04/05/2019,webOS,0.4
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0.02
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.62
04/05/2019,Android,2.56
04/05/2019,iOS,30.5
04/05/2019,SymbianOS,38.17
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,9.16
04/05/2019,Samsung,1.88
04/05/2019,Unknown,6.23
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,6.72
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.28
04/05/2019,Playstation,1.55
04/05/2019,WinCE,1.66
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.25
04/05/2019,webOS,0.51
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0.02
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.52
04/05/2019,Android,3.31
04/05/2019,iOS,31.56
04/05/2019,SymbianOS,36.17
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,9.73
04/05/2019,Samsung,1.85
04/05/2019,Unknown,5.93
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,7.03
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.28
04/05/2019,Playstation,1.58
04/05/2019,WinCE,1.38
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.24
04/05/2019,webOS,0.47
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0.01
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.46
04/05/2019,Android,4.07
04/05/2019,iOS,32.05
04/05/2019,SymbianOS,35.05
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,9.69
04/05/2019,Samsung,1.81
04/05/2019,Unknown,6.05
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,7.12
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.27
04/05/2019,Playstation,1.55
04/05/2019,WinCE,1.17
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.35
04/05/2019,webOS,0.41
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0.01
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.38
04/05/2019,Android,4.54
04/05/2019,iOS,33.13
04/05/2019,SymbianOS,34.16
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,10.28
04/05/2019,Samsung,1.69
04/05/2019,Unknown,5.76
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,6.89
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.25
04/05/2019,Playstation,1.2
04/05/2019,WinCE,0.99
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.38
04/05/2019,webOS,0.42
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0.01
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.3
04/05/2019,Android,5.35
04/05/2019,iOS,33.92
04/05/2019,SymbianOS,32.71
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,11.13
04/05/2019,Samsung,1.69
04/05/2019,Unknown,5.46
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,6.38
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.24
04/05/2019,Playstation,1.11
04/05/2019,WinCE,0.85
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.42
04/05/2019,webOS,0.42
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0.01
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.3
04/05/2019,Android,5.9
04/05/2019,iOS,30.13
04/05/2019,SymbianOS,34.51
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,12.73
04/05/2019,Samsung,1.69
04/05/2019,Unknown,5.71
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,6.21
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.22
04/05/2019,Playstation,1.1
04/05/2019,WinCE,0.73
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.35
04/05/2019,webOS,0.4
04/05/2019,WinXP,0.02
04/05/2019,Brew,0
04/05/2019,Motorola,0.01
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.26
04/05/2019,Android,5.58
04/05/2019,iOS,29.38
04/05/2019,SymbianOS,33.54
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,14.06
04/05/2019,Samsung,2.02
04/05/2019,Unknown,6.68
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,6.02
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.17
04/05/2019,Playstation,1.16
04/05/2019,WinCE,0.5
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.26
04/05/2019,webOS,0.44
04/05/2019,WinXP,0.02
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.17
04/05/2019,Android,3.94
04/05/2019,iOS,29.01
04/05/2019,SymbianOS,32.92
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,14.15
04/05/2019,Samsung,2.86
04/05/2019,Unknown,9.09
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,5.9
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.07
04/05/2019,Playstation,1.02
04/05/2019,WinCE,0.17
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.25
04/05/2019,webOS,0.52
04/05/2019,WinXP,0.02
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.07
04/05/2019,Android,3.95
04/05/2019,iOS,26.66
04/05/2019,SymbianOS,33.39
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,14.98
04/05/2019,Samsung,3.34
04/05/2019,Unknown,9.81
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,5.79
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.07
04/05/2019,Playstation,1.02
04/05/2019,WinCE,0.15
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.25
04/05/2019,webOS,0.52
04/05/2019,WinXP,0.02
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.06
04/05/2019,Android,7.91
04/05/2019,iOS,26.05
04/05/2019,SymbianOS,32.04
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,16.45
04/05/2019,Samsung,2.93
04/05/2019,Unknown,6.77
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,5.47
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.15
04/05/2019,Playstation,0.92
04/05/2019,WinCE,0.38
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.24
04/05/2019,webOS,0.51
04/05/2019,WinXP,0.02
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.16
04/05/2019,Android,9.22
04/05/2019,iOS,25.71
04/05/2019,SymbianOS,31.54
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,16.95
04/05/2019,Samsung,2.85
04/05/2019,Unknown,6.16
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,5.43
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.16
04/05/2019,Playstation,0.7
04/05/2019,WinCE,0.38
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.23
04/05/2019,webOS,0.45
04/05/2019,WinXP,0.02
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.19
04/05/2019,Android,9.79
04/05/2019,iOS,22.85
04/05/2019,SymbianOS,32.69
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,17.9
04/05/2019,Samsung,2.96
04/05/2019,Unknown,6.59
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,5.61
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.13
04/05/2019,Playstation,0.46
04/05/2019,WinCE,0.34
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.15
04/05/2019,webOS,0.35
04/05/2019,WinXP,0.02
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.16
04/05/2019,Android,10.67
04/05/2019,iOS,22.45
04/05/2019,SymbianOS,32.83
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,18.19
04/05/2019,Samsung,2.83
04/05/2019,Unknown,5.91
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,5.54
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.12
04/05/2019,Playstation,0.4
04/05/2019,WinCE,0.49
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.13
04/05/2019,webOS,0.31
04/05/2019,WinXP,0.01
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0
04/05/2019,WinVista,0
04/05/2019,Other,0.13
04/05/2019,Android,11.61
04/05/2019,iOS,21.94
04/05/2019,SymbianOS,31.93
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,19.25
04/05/2019,Samsung,3.49
04/05/2019,Unknown,5.32
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,4.9
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.12
04/05/2019,Playstation,0.37
04/05/2019,WinCE,0.44
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.13
04/05/2019,webOS,0.29
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.1
04/05/2019,WinVista,0
04/05/2019,Other,0.11
04/05/2019,Android,13.6
04/05/2019,iOS,23.57
04/05/2019,SymbianOS,29.66
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,18.04
04/05/2019,Samsung,4.05
04/05/2019,Unknown,5.13
04/05/2019,Windows Phone,0
04/05/2019,Sony Ericsson,4.32
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.12
04/05/2019,Playstation,0.42
04/05/2019,WinCE,0.4
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.15
04/05/2019,webOS,0.28
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
