Date,Mobile Operating System,Percent of Usage
04/05/2019,Maemo 5,0.14
04/05/2019,WinVista,0
04/05/2019,Other,0.1
04/05/2019,Android,14.61
04/05/2019,iOS,25.02
04/05/2019,SymbianOS,30.25
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,15.03
04/05/2019,Samsung,4.33
04/05/2019,Unknown,5.21
04/05/2019,Windows Phone,0.14
04/05/2019,Sony Ericsson,3.91
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.12
04/05/2019,Playstation,0.39
04/05/2019,WinCE,0.37
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.16
04/05/2019,webOS,0.25
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.13
04/05/2019,WinVista,0
04/05/2019,Other,0.09
04/05/2019,Android,15.16
04/05/2019,iOS,24.56
04/05/2019,SymbianOS,30.66
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,14.52
04/05/2019,Samsung,4.51
04/05/2019,Unknown,5.14
04/05/2019,Windows Phone,0.26
04/05/2019,Sony Ericsson,3.86
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.11
04/05/2019,Playstation,0.34
04/05/2019,WinCE,0.35
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.13
04/05/2019,webOS,0.21
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.12
04/05/2019,WinVista,0
04/05/2019,Other,0.07
04/05/2019,Android,15.8
04/05/2019,iOS,24.38
04/05/2019,SymbianOS,30.61
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,14.1
04/05/2019,Samsung,4.73
04/05/2019,Unknown,5.1
04/05/2019,Windows Phone,0.28
04/05/2019,Sony Ericsson,3.75
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.11
04/05/2019,Playstation,0.32
04/05/2019,WinCE,0.32
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.14
04/05/2019,webOS,0.19
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.11
04/05/2019,WinVista,0
04/05/2019,Other,0.07
04/05/2019,Android,16.05
04/05/2019,iOS,23.34
04/05/2019,SymbianOS,31.56
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,13.54
04/05/2019,Samsung,4.99
04/05/2019,Unknown,5.28
04/05/2019,Windows Phone,0.29
04/05/2019,Sony Ericsson,3.66
04/05/2019,Linux,0
04/05/2019,bada,0.12
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.1
04/05/2019,Playstation,0.31
04/05/2019,WinCE,0.29
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.13
04/05/2019,webOS,0.16
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.1
04/05/2019,WinVista,0
04/05/2019,Other,0.06
04/05/2019,Android,17.63
04/05/2019,iOS,22.09
04/05/2019,SymbianOS,31.36
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,12.94
04/05/2019,Samsung,5.08
04/05/2019,Unknown,5.77
04/05/2019,Windows Phone,0.28
04/05/2019,Sony Ericsson,3.46
04/05/2019,Linux,0
04/05/2019,bada,0.37
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.1
04/05/2019,Playstation,0.28
04/05/2019,WinCE,0.26
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.11
04/05/2019,webOS,0.13
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.09
04/05/2019,WinVista,0
04/05/2019,Other,0.06
04/05/2019,Android,17.92
04/05/2019,iOS,20.04
04/05/2019,SymbianOS,33.58
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,12.15
04/05/2019,Samsung,5.64
04/05/2019,Unknown,5.91
04/05/2019,Windows Phone,0.26
04/05/2019,Sony Ericsson,3.19
04/05/2019,Linux,0
04/05/2019,bada,0.39
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.1
04/05/2019,Playstation,0.26
04/05/2019,WinCE,0.23
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.1
04/05/2019,webOS,0.11
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.07
04/05/2019,WinVista,0
04/05/2019,Other,0.05
04/05/2019,Android,18.93
04/05/2019,iOS,20.03
04/05/2019,SymbianOS,32.45
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,12.48
04/05/2019,Samsung,5.76
04/05/2019,Unknown,5.88
04/05/2019,Windows Phone,0.27
04/05/2019,Sony Ericsson,2.97
04/05/2019,Linux,0
04/05/2019,bada,0.39
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.09
04/05/2019,Playstation,0.24
04/05/2019,WinCE,0.21
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.1
04/05/2019,webOS,0.09
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.06
04/05/2019,WinVista,0
04/05/2019,Other,0.05
04/05/2019,Android,20.6
04/05/2019,iOS,19.41
04/05/2019,SymbianOS,32.12
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,11.84
04/05/2019,Samsung,6.04
04/05/2019,Unknown,5.72
04/05/2019,Windows Phone,0.29
04/05/2019,Sony Ericsson,2.7
04/05/2019,Linux,0
04/05/2019,bada,0.45
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.09
04/05/2019,Playstation,0.26
04/05/2019,WinCE,0.21
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.09
04/05/2019,webOS,0.08
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.06
04/05/2019,WinVista,0
04/05/2019,Other,0.04
04/05/2019,Android,20.9
04/05/2019,iOS,21.21
04/05/2019,SymbianOS,31.83
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,10.72
04/05/2019,Samsung,5.6
04/05/2019,Unknown,5.9
04/05/2019,Windows Phone,0.33
04/05/2019,Sony Ericsson,2.26
04/05/2019,Linux,0
04/05/2019,bada,0.47
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.08
04/05/2019,Playstation,0.25
04/05/2019,WinCE,0.18
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.09
04/05/2019,webOS,0.08
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.06
04/05/2019,WinVista,0
04/05/2019,Other,0.03
04/05/2019,Android,22.11
04/05/2019,iOS,23.48
04/05/2019,SymbianOS,29.84
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,9.49
04/05/2019,Samsung,5.22
04/05/2019,Unknown,6.01
04/05/2019,Windows Phone,0.37
04/05/2019,Sony Ericsson,2.04
04/05/2019,Linux,0.07
04/05/2019,bada,0.48
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.08
04/05/2019,Playstation,0.29
04/05/2019,WinCE,0.17
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.11
04/05/2019,webOS,0.08
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0.05
04/05/2019,Win7,0.05
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.05
04/05/2019,WinVista,0
04/05/2019,Other,0.03
04/05/2019,Android,21.9
04/05/2019,iOS,24.21
04/05/2019,SymbianOS,30.95
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,8.44
04/05/2019,Samsung,5.43
04/05/2019,Unknown,5.29
04/05/2019,Windows Phone,0.36
04/05/2019,Sony Ericsson,1.93
04/05/2019,Linux,0.1
04/05/2019,bada,0.51
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.08
04/05/2019,Playstation,0.27
04/05/2019,WinCE,0.15
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.1
04/05/2019,webOS,0.07
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0.06
04/05/2019,Win7,0.07
04/05/2019,MeeGo,0.01
04/05/2019,Maemo 5,0.05
04/05/2019,WinVista,0
04/05/2019,Other,0.03
04/05/2019,Android,21.83
04/05/2019,iOS,22.71
04/05/2019,SymbianOS,33.46
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,7.78
04/05/2019,Samsung,5.61
04/05/2019,Unknown,4.76
04/05/2019,Windows Phone,0.34
04/05/2019,Sony Ericsson,2
04/05/2019,Linux,0.1
04/05/2019,bada,0.5
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.08
04/05/2019,Playstation,0.27
04/05/2019,WinCE,0.14
04/05/2019,Nintendo 3DS,0.06
04/05/2019,Nintendo,0.09
04/05/2019,webOS,0.05
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0.05
04/05/2019,Win7,0.08
04/05/2019,MeeGo,0.02
04/05/2019,Maemo 5,0.04
04/05/2019,WinVista,0
04/05/2019,Other,0.03
04/05/2019,Android,23.21
04/05/2019,iOS,24.04
04/05/2019,SymbianOS,31.89
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,6.94
04/05/2019,Samsung,5.84
04/05/2019,Unknown,4.45
04/05/2019,Windows Phone,0.36
04/05/2019,Sony Ericsson,1.75
04/05/2019,Linux,0.11
04/05/2019,bada,0.52
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.07
04/05/2019,Playstation,0.23
04/05/2019,WinCE,0.12
04/05/2019,Nintendo 3DS,0.13
04/05/2019,Nintendo,0.07
04/05/2019,webOS,0.04
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0.06
04/05/2019,Win7,0.09
04/05/2019,MeeGo,0.02
04/05/2019,Maemo 5,0.04
04/05/2019,WinVista,0
04/05/2019,Other,0.02
04/05/2019,Android,24.76
04/05/2019,iOS,25.49
04/05/2019,SymbianOS,30.19
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,6.76
04/05/2019,Samsung,5.06
04/05/2019,Unknown,4.37
04/05/2019,Windows Phone,0.41
04/05/2019,Sony Ericsson,1.55
04/05/2019,Linux,0.1
04/05/2019,bada,0.52
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.06
04/05/2019,Playstation,0.18
04/05/2019,WinCE,0.11
04/05/2019,Nintendo 3DS,0.1
04/05/2019,Nintendo,0.06
04/05/2019,webOS,0.04
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0.05
04/05/2019,Win7,0.1
04/05/2019,MeeGo,0.03
04/05/2019,Maemo 5,0.03
04/05/2019,WinVista,0
04/05/2019,Other,0.02
04/05/2019,Android,23.61
04/05/2019,iOS,23.99
04/05/2019,SymbianOS,31.48
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,6.43
04/05/2019,Samsung,6.05
04/05/2019,Unknown,4.78
04/05/2019,Windows Phone,0.44
04/05/2019,Sony Ericsson,1.62
04/05/2019,Linux,0.11
04/05/2019,bada,0.64
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.07
04/05/2019,Playstation,0.2
04/05/2019,WinCE,0.12
04/05/2019,Nintendo 3DS,0.12
04/05/2019,Nintendo,0.06
04/05/2019,webOS,0.03
04/05/2019,WinXP,0
04/05/2019,Brew,0.01
04/05/2019,Motorola,0.06
04/05/2019,Win7,0.1
04/05/2019,MeeGo,0.03
04/05/2019,Maemo 5,0.03
04/05/2019,WinVista,0
04/05/2019,Other,0.02
04/05/2019,Android,23.79
04/05/2019,iOS,23.85
04/05/2019,SymbianOS,28.45
04/05/2019,Series 40,2.74
04/05/2019,BlackBerry OS,6.1
04/05/2019,Samsung,6.81
04/05/2019,Unknown,4.53
04/05/2019,Windows Phone,0.48
04/05/2019,Sony Ericsson,1.54
04/05/2019,Linux,0.11
04/05/2019,bada,0.7
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.07
04/05/2019,Playstation,0.19
04/05/2019,WinCE,0.1
04/05/2019,Nintendo 3DS,0.14
04/05/2019,Nintendo,0.06
04/05/2019,webOS,0.02
04/05/2019,WinXP,0
04/05/2019,Brew,0.07
04/05/2019,Motorola,0.05
04/05/2019,Win7,0.1
04/05/2019,MeeGo,0.03
04/05/2019,Maemo 5,0.03
04/05/2019,WinVista,0
04/05/2019,Other,0.02
04/05/2019,Android,23.81
04/05/2019,iOS,22.95
04/05/2019,SymbianOS,20.25
04/05/2019,Series 40,11.84
04/05/2019,BlackBerry OS,5.66
04/05/2019,Samsung,7.18
04/05/2019,Unknown,4.59
04/05/2019,Windows Phone,0.53
04/05/2019,Sony Ericsson,1.44
04/05/2019,Linux,0.11
04/05/2019,bada,0.77
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.07
04/05/2019,Playstation,0.18
04/05/2019,WinCE,0.1
04/05/2019,Nintendo 3DS,0.14
04/05/2019,Nintendo,0.06
04/05/2019,webOS,0.02
04/05/2019,WinXP,0
04/05/2019,Brew,0.1
04/05/2019,Motorola,0.04
04/05/2019,Win7,0.08
04/05/2019,MeeGo,0.03
04/05/2019,Maemo 5,0.03
04/05/2019,WinVista,0
04/05/2019,Other,0.02
04/05/2019,Android,25.07
04/05/2019,iOS,24.56
04/05/2019,SymbianOS,17.29
04/05/2019,Series 40,13.7
04/05/2019,BlackBerry OS,5.26
04/05/2019,Samsung,6.21
04/05/2019,Unknown,4.38
04/05/2019,Windows Phone,0.55
04/05/2019,Sony Ericsson,1.29
04/05/2019,Linux,0.11
04/05/2019,bada,0.74
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.06
04/05/2019,Playstation,0.17
04/05/2019,WinCE,0.09
04/05/2019,Nintendo 3DS,0.14
04/05/2019,Nintendo,0.05
04/05/2019,webOS,0.02
04/05/2019,WinXP,0
04/05/2019,Brew,0.1
04/05/2019,Motorola,0.04
04/05/2019,Win7,0.09
04/05/2019,MeeGo,0.03
04/05/2019,Maemo 5,0.02
04/05/2019,WinVista,0
04/05/2019,Other,0.02
04/05/2019,Android,26.53
04/05/2019,iOS,25.41
04/05/2019,SymbianOS,13.47
04/05/2019,Series 40,14.73
04/05/2019,BlackBerry OS,4.96
04/05/2019,Samsung,6.71
04/05/2019,Unknown,4.51
04/05/2019,Windows Phone,0.68
04/05/2019,Sony Ericsson,1.14
04/05/2019,Linux,0.12
04/05/2019,bada,0.72
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.06
04/05/2019,Playstation,0.18
04/05/2019,WinCE,0.08
04/05/2019,Nintendo 3DS,0.16
04/05/2019,Nintendo,0.06
04/05/2019,webOS,0.02
04/05/2019,WinXP,0.15
04/05/2019,Brew,0.1
04/05/2019,Motorola,0.04
04/05/2019,Win7,0.09
04/05/2019,MeeGo,0.03
04/05/2019,Maemo 5,0.02
04/05/2019,WinVista,0
04/05/2019,Other,0.05
04/05/2019,Android,28.21
04/05/2019,iOS,24.48
04/05/2019,SymbianOS,12.58
04/05/2019,Series 40,15
04/05/2019,BlackBerry OS,4.65
04/05/2019,Samsung,6.56
04/05/2019,Unknown,4.73
04/05/2019,Windows Phone,0.74
04/05/2019,Sony Ericsson,1.03
04/05/2019,Linux,0.13
04/05/2019,bada,0.71
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.05
04/05/2019,Playstation,0.17
04/05/2019,WinCE,0.07
04/05/2019,Nintendo 3DS,0.17
04/05/2019,Nintendo,0.06
04/05/2019,webOS,0.01
04/05/2019,WinXP,0.3
04/05/2019,Brew,0.1
04/05/2019,Motorola,0.04
04/05/2019,Win7,0.07
04/05/2019,MeeGo,0.04
04/05/2019,Maemo 5,0.02
04/05/2019,WinVista,0
04/05/2019,Other,0.07
04/05/2019,Android,29.25
04/05/2019,iOS,23.63
04/05/2019,SymbianOS,12.22
04/05/2019,Series 40,15.14
04/05/2019,BlackBerry OS,4.54
04/05/2019,Samsung,6.72
04/05/2019,Unknown,4.83
04/05/2019,Windows Phone,0.8
04/05/2019,Sony Ericsson,0.98
04/05/2019,Linux,0.12
04/05/2019,bada,0.69
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.05
04/05/2019,Playstation,0.13
04/05/2019,WinCE,0.07
04/05/2019,Nintendo 3DS,0.15
04/05/2019,Nintendo,0.05
04/05/2019,webOS,0.01
04/05/2019,WinXP,0.28
04/05/2019,Brew,0.11
04/05/2019,Motorola,0.04
04/05/2019,Win7,0.06
04/05/2019,MeeGo,0.04
04/05/2019,Maemo 5,0.02
04/05/2019,WinVista,0
04/05/2019,Other,0.06
04/05/2019,Android,30.19
04/05/2019,iOS,23.72
04/05/2019,SymbianOS,11.7
04/05/2019,Series 40,15
04/05/2019,BlackBerry OS,4.29
04/05/2019,Samsung,6.72
04/05/2019,Unknown,4.82
04/05/2019,Windows Phone,0.8
04/05/2019,Sony Ericsson,0.95
04/05/2019,Linux,0.11
04/05/2019,bada,0.66
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.04
04/05/2019,Playstation,0.12
04/05/2019,WinCE,0.07
04/05/2019,Nintendo 3DS,0.14
04/05/2019,Nintendo,0.05
04/05/2019,webOS,0.01
04/05/2019,WinXP,0.29
04/05/2019,Brew,0.11
04/05/2019,Motorola,0.04
04/05/2019,Win7,0.06
04/05/2019,MeeGo,0.04
04/05/2019,Maemo 5,0.01
04/05/2019,WinVista,0
04/05/2019,Other,0.05
04/05/2019,Android,31.67
04/05/2019,iOS,23.73
04/05/2019,SymbianOS,10.93
04/05/2019,Series 40,15.07
04/05/2019,BlackBerry OS,3.93
04/05/2019,Samsung,6.52
04/05/2019,Unknown,4.75
04/05/2019,Windows Phone,0.84
04/05/2019,Sony Ericsson,0.89
04/05/2019,Linux,0.1
04/05/2019,bada,0.58
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.04
04/05/2019,Playstation,0.11
04/05/2019,WinCE,0.06
04/05/2019,Nintendo 3DS,0.14
04/05/2019,Nintendo,0.05
04/05/2019,webOS,0.01
04/05/2019,WinXP,0.31
04/05/2019,Brew,0.07
04/05/2019,Motorola,0.04
04/05/2019,Win7,0.06
04/05/2019,MeeGo,0.03
04/05/2019,Maemo 5,0.01
04/05/2019,WinVista,0
04/05/2019,Other,0.05
04/05/2019,Android,33.19
04/05/2019,iOS,23.26
04/05/2019,SymbianOS,10.72
04/05/2019,Series 40,14.86
04/05/2019,BlackBerry OS,3.53
04/05/2019,Samsung,6.57
04/05/2019,Unknown,4.7
04/05/2019,Windows Phone,0.91
04/05/2019,Sony Ericsson,0.85
04/05/2019,Linux,0.09
04/05/2019,bada,0.55
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.04
04/05/2019,Playstation,0.11
04/05/2019,WinCE,0.02
04/05/2019,Nintendo 3DS,0.14
04/05/2019,Nintendo,0.04
04/05/2019,webOS,0.01
04/05/2019,WinXP,0.18
04/05/2019,Brew,0.07
04/05/2019,Motorola,0.04
04/05/2019,Win7,0.06
04/05/2019,MeeGo,0.03
04/05/2019,Maemo 5,0.01
04/05/2019,WinVista,0
04/05/2019,Other,0.03
